year,emissions_co2_1point5c,emissions_co2_historical,emissions_co2_irp,emissions_co2_target_all_years
2005,1356.7587033711195,1356.7587033711195,,
2006,1338.1750984858872,1351.007788613809,,
2007,1383.939535681823,1377.8550751595837,,
2008,1373.2145890109728,1376.8733152572775,,
2009,1231.5445554517391,1244.369217599756,,
2010,1288.1779738914572,1268.1399531091647,,
2011,1221.8326029376744,1189.8160013063728,,
2012,1144.2801583420603,1094.2005309073281,,
2013,1140.5081883707364,1071.27843631236,,
2014,1141.3650598501092,1063.9408540350223,,
2015,1064.3126129094696,1012.4563011183533,,
2016,999.7490257833231,921.911669150325,,
2017,953.1354406606933,876.5845749711946,,
2018,968.5259728086367,894.4410209129544,,
2019,876.9675449228733,820.0539829974325,,
2020,805.135264698661,741.7336324249256,,
2021,859.8726104563127,787.1559480871454,,
2022,752.8782411062359,,785.1056413502534,750.9915132007219
2023,664.9761073148699,,756.986809788744,715.5357049712659
2024,590.5886140591011,,737.0486668432527,679.5093976406453
2025,525.937427605189,,702.0807037394353,642.6669165978948
2026,468.3695369424696,,683.2365963934722,610.5844793892279
2027,416.0724138749586,,662.5146619408869,578.5020421805609
2028,367.832011717136,,633.835729944095,546.419604971894
2029,322.9013052836365,,614.5872168198939,515.5754680883445
2030,280.91144108743515,,590.5299186991366,484.5517148170203
2031,241.7804328387834,,573.5292484191081,461.76237952135773
2032,205.60958732839902,,553.0998351817876,439.14964029337216
2033,172.5803882107421,,536.6692738778819,416.8602279415143
2034,142.86851001799425,,526.5671253254116,394.46152498401995
2035,116.58462099214904,,507.3754615186268,371.98639232371767
2036,93.7430197009068,,500.3023851567111,351.535994558214
2037,74.25365005844965,,498.2269269867355,329.5760012953314
2038,57.93098381100976,,489.48103180633836,307.19894086140965
2039,44.513333276819914,,476.5769576775198,284.60791981356056
2040,33.68710120248887,,470.11905508457585,261.9674066554922
2041,25.111710817204195,,464.63993434809197,243.8216168600335
2042,18.442189841942078,,459.3648524242584,225.6339915675746
2043,13.347558559510453,,456.24461787102837,207.37598762744076
2044,9.52418597287126,,452.9244660297966,189.11460303974854
2045,6.704092986120447,,451.7892736658783,170.8124175326393
2046,4.65875364043267,,449.7988136537489,157.14200466780738
2047,3.1992658564662744,,447.96363322616054,143.04577837584463
2048,2.173908376640047,,443.17117896619277,128.8194900211286
2049,1.464045719205912,,442.6896433066763,114.59320166641251
2050,0.9792237689733276,,441.44002713483167,100.3639786293042
