ticker,emissions_co2_historical,emissions_co2_irp,emissions_co2_irp_future,emissions_co2_target,emissions_co2_target_future,emissions_co2_1point5c,emissions_co2_1point5c_historical,emissions_co2_1point5c_future,emissions_co2_historical_social_cost,emissions_co2_irp_social_cost,emissions_co2_irp_social_cost_future,emissions_co2_target_social_cost,emissions_co2_1point5c_social_cost,emissions_co2_1point5c_historical_social_cost,emissions_co2_1point5c_future_social_cost
AEE,476.62552941947,715.5129909579036,238.88746153843366,715.3755377997838,238.75000838031383,573.7308046345654,456.1253140239194,117.605490610646,30986374493.390354,40836055025.11585,9849680531.725494,40905878118.90708,34959085819.043365,29919515357.118202,5039570461.925163
AEP,1198.5972462162936,1778.4742917500516,579.8770455337583,1813.6797879454764,615.0825417291829,1496.9126611389738,1165.1174950854809,331.7951660534928,78060567977.64915,101928222063.64111,23867654085.99197,103338968568.01259,90143489501.60117,75925572382.5056,14217917119.09557
AES,256.7698620213456,331.08214502827263,74.312283006927,337.74690162740325,80.97703960605764,312.3763416184922,251.78385947441893,60.59248214407328,17181136961.479424,20277563456.66528,3096426495.1858573,20556967652.40889,19362481224.686398,16766003104.128672,2596478120.5577273
AGR,63.37048350660724,94.72932603672496,31.358842530117705,104.5423831574084,41.17189965080116,104.34022971711521,77.88913849357408,26.451091223541134,4194653128.8482,5485012708.626959,1290359579.778759,5859455445.766771,6218727305.210361,5085258643.809454,1133468661.4009068
ALE,147.89843620699648,203.2410897415546,55.3426535345581,201.50518829429132,53.606752087294836,189.90559349000722,151.06082158988124,38.84477190012599,9761417392.316097,12051071765.660542,2289654373.3444443,11977842149.364492,11580007078.282927,9915450737.829426,1664556340.4535015
AQN,62.02250647530584,101.86967289445828,39.847166419152444,97.78195481757591,35.75944834227007,96.44734059765914,71.53363391307292,24.913706684586217,4057370727.8818173,5676851126.899178,1619480399.0173602,5520645098.90286,5718164977.797447,4650575534.032628,1067589443.7648188
AVA,39.669323644923914,64.49485405689404,24.825530411970124,64.90212297523907,25.232799330315157,52.26683104463062,41.18217009763219,11.084660946998435,2512314586.6057568,3544425709.4364405,1032111122.8306834,3559275315.280432,3135197496.7970815,2660203263.118914,474994233.6781675
AWR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,17784.588060173566,26409.380954351793,8624.792894178228,25680.481728379647,7895.893668206083,23529.94349599426,18438.051169600014,5091.892326394246,1166767296863.6,1520881485091.2207,354114188227.62067,1492615239741.247,1422517446217.7183,1204322274970.527,218195171247.19125
BAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKH,71.49844377670036,117.56679777121967,46.06835399451931,126.03100415212307,54.532560375422726,59.95710684216167,45.286076911441455,14.671029930720216,4518936979.431302,6407416496.321478,1888479516.8901758,6731507551.91328,3552515920.3385987,2923840433.3270707,628675487.0115281
BRK-B,1232.2569405976833,1858.5197309866592,626.2627903889759,1822.1665967064218,589.9096561087383,1875.3200771359154,1466.7901228486908,408.52995428722465,80146285020.70161,106159668054.14862,26013383033.447006,104510925387.24019,112334168574.11836,94828051472.37851,17506117101.739845
CMS,370.78745889976227,531.9146587153019,161.12719981553963,517.5985363422004,146.81107744243818,469.41016498026306,363.0155912891122,106.39457369115088,24227918321.439056,30915804888.244904,6687886566.805848,30405577704.80043,28154874136.395954,23595708164.64576,4559165971.750194
CNP,87.25383766092384,116.30412788994875,29.05029022902492,118.63914657970423,31.385308918780407,93.70845506572326,74.43397905688742,19.274476008835833,5624027095.338371,6825106481.28364,1201079385.945269,6977342718.755077,5673933973.830886,4847993964.917549,825940008.9133366
D,742.3911520006345,1248.2276985458716,505.8365465452371,1105.6001958585157,363.20904385788106,883.2474818617289,671.3649471491176,211.88253471261135,47719624455.21092,68152240679.654366,20432616224.443443,62721002445.606766,52147226700.01629,43067744459.934135,9079482240.082157
DTE,578.5427657013529,846.5099918224703,267.96722612111745,797.7727417680077,219.22997606665473,764.9042214039058,569.1059626425309,195.7982587613749,37555812100.772545,48698234712.34702,11142422611.57448,46808796756.47212,45066729635.27603,36676482579.405304,8390247055.870725
DUK,1746.239577783496,2662.476159281538,916.2365814980418,2676.036374022544,929.7967962390479,2266.988354741778,1767.8409101668017,499.1474445749764,114143854964.94824,151721808097.248,37577953132.29973,152155629406.9686,136509138680.6489,115119927133.09068,21389211547.558216
ED,118.14450637991786,195.62640490054855,77.4818985206307,177.02368070188606,58.87917432196821,157.98063455085946,119.89143395893277,38.08920059192669,7729746055.898999,10905652856.717203,3175906800.818204,10207321250.300055,9483864911.811108,7851685927.439437,1632178984.3716702
EE,47.256245319740586,83.28127510887572,36.02502978913513,76.35474924927263,29.09850392953204,54.63464255884143,41.51786151293071,13.116781045910722,3020931177.603006,4485485513.417041,1464554335.8140345,4218642641.129888,3234734657.4980726,2672661050.4642215,562073607.0338513
EIX,289.5449852639892,401.8875192439251,112.34253397993594,372.5831677830561,83.03818251906692,422.4458193128003,346.92643269116763,75.51938662163269,19123498877.99889,23744003267.415134,4620504389.416243,22575643175.484406,25944618483.67608,22708500270.615074,3236118213.0610046
EMRAF,206.44324626533594,323.44863880130555,117.00539253596959,297.5471373925485,91.10389112721253,256.7722341778412,195.51048642288873,61.26174775495246,13403892025.917942,18126140976.516445,4722248950.598505,17151481113.848125,15280616996.446806,12655459847.501404,2625157148.945401
ES,160.92186004859434,198.71189346353458,37.79003341494024,210.88949708035724,49.967637031762905,183.19554970091892,148.7267074703862,34.468842230532694,11078441610.545034,12633757239.069666,1555315628.524632,13097597438.91146,11504209326.05294,10027168090.479652,1477041235.5732875
ETR,435.44768065725947,728.0347606978436,292.5870800405841,678.6303595608267,243.18267890356725,408.2506658655866,314.2226293658215,94.02803649976515,27694252644.257633,39701883856.35034,12007631212.092705,37710792423.670105,24370005543.3772,20340764111.904934,4029241431.472267
EVRG,448.8916549531844,681.9022204510816,233.01056549789723,618.3094288262954,169.41777387311097,535.9792328542849,414.1632863075969,121.81594654668801,29105590920.490368,38698081081.27716,9592490160.78679,36213804102.33894,32013268348.846626,26793273578.019394,5219994770.827234
EXC,844.3491800667168,1165.9022457356114,321.5530656688945,1116.6267655305178,272.2775854638008,1240.8352440398064,972.6657358034216,268.1695082363847,57438877392.88197,70672963362.4377,13234085969.555721,68758410253.75778,76580740365.78914,65089277463.16559,11491462902.623552
FE,1306.0181210870842,1717.6422132351013,411.62409214801704,1691.3381209857505,385.31999989866614,1644.816828836698,1368.4548914534298,276.3619373832683,88205197713.17354,105070954523.28586,16865756810.112316,104089715212.65768,103436910293.65524,91594389598.35826,11842520695.296986
FTS,162.18997138980356,239.36485350668352,77.17488211687994,224.00491507720966,61.814943687406085,209.42671931327638,163.26876391974824,46.157955393528134,10598711988.385029,13780998485.74467,3182286497.359642,13161623098.207413,12602083714.31533,10624146567.195206,1977937147.1201239
IBDRY,1.9524108775254652,4.561734883222491,2.6093240056970255,4.04218644401159,2.089775566486125,11.631075432886535,6.192228339640849,5.438847093245687,112058366.6418806,219449717.87028968,107391351.22840908,199993976.55853748,571943297.4983065,338880597.65555525,233062699.84275132
IDA,98.17042723803887,140.9902589866089,42.819831748570024,156.7561518370267,58.58572459898782,149.53594015768465,111.89487587607996,37.64106428160467,6345823736.611322,8132767231.793022,1786943495.1816995,8771853434.152887,8815141827.247036,7202166151.332212,1612975675.914824
LNT,273.29585547712543,407.4341814462942,134.1383259691688,396.652804321445,123.35694884431955,408.34947641834486,317.9326186288079,90.41685778953696,17880416809.39525,23387197289.636456,5506780480.241207,22975210950.879276,24408766451.3721,20534269406.97143,3874497044.400669
MCPB,1.4455292617905917,1.940125976402143,0.49459671461155147,2.09998250638088,0.6544532445902886,1.6950439864363271,1.3979158426326328,0.29712814380369423,96685055.37980156,117041059.2257393,20356003.845937744,123130974.18075061,106143883.6283337,93411500.05385287,12732383.57448084
MDU,41.634609908000854,65.18056039460387,23.54595048660302,72.95630393301244,31.32169402501159,60.38325653969708,44.87076159120563,15.512494948491447,2655812144.7996063,3613133609.623065,957321464.8234583,3922728817.763232,3509942453.084883,2845208936.5860877,664733516.4987956
MGEE,42.20849047278179,70.19556839398362,27.987077921201838,58.987770337579825,16.779279864798035,53.96945601853202,42.46960897162325,11.499847046908767,2732987501.2005887,3869072294.116204,1136084792.915615,3437738001.1084237,3259560307.3783517,2766774730.8432665,492785576.53508526
NEE,836.3082287818856,1327.8099876065394,491.5017588246538,1052.6008804802154,216.29265169832968,1124.070053782846,872.2276622351941,251.8423915476518,54602436422.894135,74640550151.5295,20038113728.635353,63796767078.05169,67532200555.45975,56740378924.39342,10791821631.066328
NGG,42.15759132098506,75.78961925755436,33.63202793656931,74.04076927259914,31.88317795161407,39.34095072961467,29.691672547815234,9.649278181799435,2650309055.7724867,4034494736.344941,1384185680.5724547,3970391290.530007,2355834516.977381,1942348572.9844446,413485943.99293643
NI,250.15090164899112,318.3323277861213,68.18142613713022,346.4591984906293,96.30829684163822,335.8714146944844,260.9795121385423,74.89190255594208,16319939792.859426,19145263455.691303,2825323662.8318787,20329441554.969803,20168334767.79147,16959105181.667553,3209229586.1239142
NWE,68.64126207473825,95.47347610038916,26.832214025650924,105.87626464199735,37.235002567259116,85.52536692046074,66.50497392643011,19.020392994030626,4473925117.724327,5559374460.672849,1085449342.9485216,5978561029.588941,5138863427.349101,4323811254.111129,815052173.2379731
OGE,355.97181611047984,586.2494689266107,230.2776528161309,625.9811678773927,270.00935176691286,491.8522815841628,374.11271631240845,117.73956527175437,22889134626.205235,32266237099.9471,9377102473.741867,33824846896.043068,29118592201.08583,24073276440.20986,5045315760.875969
OTTR,61.88147153223732,91.92768472945802,30.046213197220702,96.1793783254649,34.29790679322758,80.72014987709593,61.129797334748886,19.590352542347052,3955469735.771929,5208810192.38211,1253340456.6101809,5358580213.7638,4751286166.574605,3911810377.6595616,839475788.9150429
PCG,195.4475408074387,257.3244589004257,61.876918092987026,241.5330705893265,46.08552978188782,239.6642083682996,211.59464675792194,28.069561610377654,13034639726.28439,15551280752.221556,2516641025.9371667,14954209746.457195,15175065422.391045,13972242893.984003,1202822528.407041
PEG,237.72534756281678,332.5435696097477,94.81822204693094,362.3435615007775,124.61821393796076,413.4921668528251,322.95806223834404,90.53410461448108,16183113655.094889,20085519240.461433,3902405585.3665457,21218833462.681446,25256916349.79765,21377395104.293144,3879521245.504503
PNM,103.43680255355217,155.81364101437637,52.37683846082421,149.82747146877878,46.390668915226605,150.363352846782,115.26384344299112,35.099509403790876,6704226884.723335,8842800167.891066,2138573283.1677303,8624202712.803158,8933793647.27176,7429727383.860444,1504066263.4113166
PNW,270.74303515169566,426.861071312757,156.11803616106138,401.9302879450762,131.18725279338057,395.62485569216665,302.691150176058,92.93370551610863,17697827248.083336,24082267821.155552,6384440573.072217,23116165805.327972,23548558706.28041,19566210987.611595,3982347718.6688137
POR,107.91398658056835,181.29863707165455,73.3846504910862,140.42263909661432,32.508652516045984,112.8937046821116,87.3689117231844,25.524792958927204,6932504693.692245,9940260642.45761,3007755948.7653646,8334778846.364898,6776573597.520692,5682798196.604838,1093775400.915853
