year,utility_id_irp,target_type,net_generation_mwh,net_generation_mwh_1point5c,emissions_co2_historical,emissions_co2_irp,emissions_co2_1point5c,emissions_co2_target,emissions_co2_target_all_years,ticker,parent_name,fraction_owned_utility,utility_name_irp
2005,19436,Utility/Parent,41219786.45200323,41219786.45200323,33.77459543927237,,33.77459543927237,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2006,19436,Utility/Parent,41063093.76786628,41063093.76786628,32.00648843719439,,32.65272442107892,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2007,19436,Utility/Parent,42705044.58794695,42705044.58794695,32.725761740437584,,34.11618134768367,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2008,19436,Utility/Parent,41923799.19470343,41923799.19470343,32.53001684301093,,32.99975305728512,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2009,19436,Utility/Parent,38248503.22078371,38248503.22078371,28.94644700966608,,28.652447843272583,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2010,19436,Utility/Parent,40407572.17987329,40407572.17987329,30.733516868543926,,30.66820564573942,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2011,19436,Utility/Parent,38787134.33786462,38787134.33786462,29.97745037209299,,28.25680815537814,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2012,19436,Utility/Parent,38278867.991153605,38278867.991153605,27.95554302638734,,26.396911903332462,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2013,19436,Utility/Parent,38557495.06221493,38557495.06221493,29.712705274724843,,26.799459413653807,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2014,19436,Utility/Parent,38502027.35702079,38502027.35702079,29.962836430723858,,26.579934153787047,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2015,19436,Utility/Parent,37163708.97743488,37163708.97743488,26.708664504931555,,24.039394474442396,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2016,19436,Utility/Parent,33984128.806498714,33984128.806498714,24.422374969005794,,20.94589905824614,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2017,19436,Utility/Parent,32576467.454300284,32576467.454300284,24.407462353716355,,19.517175386513532,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2018,19436,Utility/Parent,34646222.68358095,34646222.68358095,24.56491420745971,,20.20883913607455,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2019,19436,Utility/Parent,32812944.839269113,32812944.839269113,21.317566751904653,,17.730548233352977,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2020,19436,Utility/Parent,31170327.389879163,31170327.389879163,21.91834784491205,,15.669119592967443,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2021,19436,Utility/Parent,32279763.30177767,32279763.30177767,24.92618106861102,,16.86489152639263,0.0,,AEE,Ameren Corp.,1.0,Ameren Missouri
2022,19436,Utility/Parent,32526604.182281483,32982477.313807905,,23.182687546187772,14.766384827747746,0.0,23.846035294464762,AEE,Ameren Corp.,1.0,Ameren Missouri
2023,19436,Utility/Parent,32775332.636114694,33305436.920285102,,23.10140104306166,13.042338808252909,0.0,22.765889520318506,AEE,Ameren Corp.,1.0,Ameren Missouri
2024,19436,Utility/Parent,33025963.09740617,33817130.0745708,,22.766113206981775,11.583358734433544,0.0,21.685743746172246,AEE,Ameren Corp.,1.0,Ameren Missouri
2025,19436,Utility/Parent,33278510.11066142,34623415.430662595,,19.92225931248093,10.315339223939773,0.0,20.605597972025993,AEE,Ameren Corp.,1.0,Ameren Missouri
2026,19436,Utility/Parent,33532988.331606686,35839708.43534543,,19.542080017081073,9.186246123841174,0.0,19.525452197879737,AEE,Ameren Corp.,1.0,Ameren Missouri
2027,19436,Utility/Parent,33789412.52803945,37607805.1288116,,19.177398755850202,8.160529875933323,0.0,18.445306423733477,AEE,Ameren Corp.,1.0,Ameren Missouri
2028,19436,Utility/Parent,34047797.58068537,40086921.35203799,,18.820881955038463,7.21437908605121,0.0,17.365160649587224,AEE,Ameren Corp.,1.0,Ameren Missouri
2029,19436,Utility/Parent,34308158.48406192,43426757.152091734,,18.436268294456635,6.333142166778898,0.0,16.285014875440964,AEE,Ameren Corp.,1.0,Ameren Missouri
2030,19436,Utility/Parent,34570510.34734848,47717473.531473406,,18.07935730729055,5.50958470458564,13.924608406589199,15.204869101294708,AEE,Ameren Corp.,1.0,Ameren Missouri
2031,19436,Utility/Parent,34834868.39526315,52922732.33956732,,17.783931139129585,4.742098682346051,0.0,14.334581075882882,AEE,Ameren Corp.,1.0,Ameren Missouri
2032,19436,Utility/Parent,35101247.96894633,58823918.66687516,,15.357582293306798,4.032671054889912,0.0,13.464293050471058,AEE,Ameren Corp.,1.0,Ameren Missouri
2033,19436,Utility/Parent,35369664.526850894,65020767.17397845,,15.057530223121415,3.384861305458188,0.0,12.594005025059232,AEE,Ameren Corp.,1.0,Ameren Missouri
2034,19436,Utility/Parent,35640133.64563937,71016368.32983507,,14.768226627811163,2.8021149815577577,0.0,11.723716999647408,AEE,Ameren Corp.,1.0,Ameren Missouri
2035,19436,Utility/Parent,35912671.02108781,76357360.63999633,,14.483693114724954,2.286602646448739,0.0,10.853428974235582,AEE,Ameren Corp.,1.0,Ameren Missouri
2036,19436,Utility/Parent,36187292.46899667,80752708.15063852,,11.592776162106215,1.8386047414317583,0.0,9.983140948823758,AEE,Ameren Corp.,1.0,Ameren Missouri
2037,19436,Utility/Parent,36464013.92610859,84111390.57213065,,11.443230016098394,1.4563549745001387,0.0,9.112852923411932,AEE,Ameren Corp.,1.0,Ameren Missouri
2038,19436,Utility/Parent,36742851.45103334,86502063.64425476,,11.291837189954125,1.136214534698829,0.0,8.242564898000108,AEE,Ameren Corp.,1.0,Ameren Missouri
2039,19436,Utility/Parent,37023821.22517955,88080288.56427068,,11.110985232039006,0.8730508776100532,0.0,7.372276872588284,AEE,Ameren Corp.,1.0,Ameren Missouri
2040,19436,Utility/Parent,37306939.553693935,89024925.48912129,,10.184453382789396,0.6607133437092426,5.221728152470949,6.501988847176459,AEE,Ameren Corp.,1.0,Ameren Missouri
2041,19436,Utility/Parent,37592222.86640736,89499922.31440255,,10.07513176273104,0.4925221176071011,0.0,5.457643216682269,AEE,Ameren Corp.,1.0,Ameren Missouri
2042,19436,Utility/Parent,37879687.71878837,89638774.46547054,,7.414251229118954,0.36171117373821193,0.0,4.413297586188079,AEE,Ameren Corp.,1.0,Ameren Missouri
2043,19436,Utility/Parent,38169350.79290392,89542798.9845544,,6.670953814496883,0.26178892606994375,0.0,3.3689519556938894,AEE,Ameren Corp.,1.0,Ameren Missouri
2044,19436,Utility/Parent,38461228.89838745,89285612.74276567,,8.337109583509465,0.1868001856977683,0.0,2.3246063251996993,AEE,Ameren Corp.,1.0,Ameren Missouri
2045,19436,Utility/Parent,38755338.97341436,88919265.45732103,,8.223854744998524,0.13148901316181108,0.0,1.2802606947055093,AEE,Ameren Corp.,1.0,Ameren Missouri
2046,19436,Utility/Parent,39051698.085685,88479932.86262342,,8.10783134930556,0.09137327301585865,0.0,1.2802606947055093,AEE,Ameren Corp.,1.0,Ameren Missouri
2047,19436,Utility/Parent,39350323.43341513,87992486.2229532,,7.99268841150953,0.06274798263985013,0.0,1.2802606947055093,AEE,Ameren Corp.,1.0,Ameren Missouri
2048,19436,Utility/Parent,39651232.34633393,87473902.75079025,,7.876224696752323,0.042637395952052355,0.0,1.2802606947055093,AEE,Ameren Corp.,1.0,Ameren Missouri
2049,19436,Utility/Parent,39954442.286689706,86935713.28223312,,7.765257770437781,0.028714686273103068,0.0,1.2802606947055093,AEE,Ameren Corp.,1.0,Ameren Missouri
2050,19436,Utility/Parent,40259970.85026322,86385718.6826722,,7.65306596458091,0.01920575494902285,0.0,1.2802606947055093,AEE,Ameren Corp.,1.0,Ameren Missouri
2010,61576,Utility/Parent,19392903.0,19392903.0,14.425412424462325,,14.436542827000475,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2011,61576,Utility/Parent,18007291.0,18007291.0,13.068629627229631,,12.867037319508349,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2012,61576,Utility/Parent,14568628.0,14568628.0,9.682587337709737,,9.853884329870036,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2013,61576,Utility/Parent,10621927.164711744,10621927.164711744,6.5512920977167015,,7.241279490209463,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2014,61576,Utility/Parent,9503813.873523485,9503813.873523485,4.640685273959688,,6.435214000769902,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2015,61576,Utility/Parent,9873379.88001382,9873379.88001382,5.292663287784978,,6.2641924163653675,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2016,61576,Utility/Parent,8410736.000000002,8410736.000000002,4.585356873157895,,5.084539616098339,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2017,61576,Utility/Parent,8380364.62059306,8380364.62059306,4.773164567331419,,4.9245965929193405,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2018,61576,Utility/Parent,8914287.18736397,8914287.18736397,4.8355794685119955,,5.0999611160359475,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2019,61576,Utility/Parent,8453826.418533865,8453826.418533865,5.008125123120885,,4.480485241536083,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2020,61576,Utility/Parent,8204901.174027865,8204901.174027865,4.539603569219927,,4.045492076609177,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2021,61576,Utility/Parent,8185037.49461911,8185037.49461911,4.912690892385253,,4.1943884893152115,0.0,,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2022,61576,Utility/Parent,8185037.49461911,8363221.5935138175,,4.750856110744493,3.672478678761591,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2023,61576,Utility/Parent,8185037.49461911,8445113.039357156,,4.59435252073016,3.2436992366938937,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2024,61576,Utility/Parent,8185037.49461911,8574860.820169961,,4.4430045012312105,2.8808431093247084,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2025,61576,Utility/Parent,8185037.49461911,8779307.048888445,,4.296642216480061,2.565479892744341,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2026,61576,Utility/Parent,8185037.49461911,9087717.11232976,,4.155101425470734,2.28466841553991,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2027,61576,Utility/Parent,8185037.49461911,9536045.608261937,,4.018223297655171,2.029567312944884,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2028,61576,Utility/Parent,8185037.49461911,10164664.19666122,,3.8858542347109095,1.794254564207217,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2029,61576,Utility/Parent,8185037.49461911,11011531.65952783,,3.7578456981801427,1.5750862413768598,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2030,61576,Utility/Parent,8185037.49461911,12099509.725404209,,3.634054042786701,1.3702631072163327,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
2031,61576,Utility/Parent,8185037.49461911,13419384.28938835,,3.5143403552439545,1.179385239288497,0.0,4.912690892385253,AEE,Ameren Corp.,1.0,Ameren Illinois Co.
