date,year,month,EnAct,UTY,UTY_EnAct_overlay
2018-12-31,2018,12,0.9999999999999999,0.9962453332764749,0.9962453332764749
2019-01-31,2019,1,1.0305251128541306,,
2019-02-28,2019,2,1.0535877803263196,,
2019-03-29,2019,3,1.0773488625392955,1.0049556451805224,1.004566770734968
2019-04-30,2019,4,1.0564175255892647,,
2019-05-31,2019,5,1.1022855370994835,,
2019-06-28,2019,6,1.0943108689991987,0.9982167757068734,0.9978305089128534
2019-07-31,2019,7,1.1377936441307677,,
2019-08-30,2019,8,1.1825936689623269,,
2019-09-30,2019,9,1.1774150171559508,0.9870885156076993,0.9867065549698731
2019-10-31,2019,10,1.167061724423328,,
2019-11-29,2019,11,1.2078978421490079,,
2019-12-31,2019,12,1.2737065571427564,1.0512120025660667,1.0499718352305978
2020-01-31,2020,1,1.155950400833479,,
2020-02-28,2020,2,1.0432091976405797,,
2020-03-31,2020,3,1.0742335885363414,1.0842421680629681,1.0833033998251507
2020-04-30,2020,4,1.1115694069848967,,
2020-05-29,2020,5,1.0603537332516388,,
2020-06-30,2020,6,1.141636656092736,1.1708103783415598,1.170639601016689
2020-07-31,2020,7,1.1215598021346544,,
2020-08-31,2020,8,1.1023243824891669,,
2020-09-30,2020,9,1.1796596975093236,1.230854407352498,1.2321506558915167
2020-10-30,2020,10,1.1997918710991877,,
2020-11-30,2020,11,1.213072453460695,,
2020-12-31,2020,12,1.1970629574546725,1.2230043721595565,1.2245786543834893
2021-01-29,2021,1,1.1366736955268462,,
2021-02-26,2021,2,1.2502401478190133,,
2021-03-31,2021,3,1.3035726755483041,1.2761148260942166,1.276052583551321
2021-04-30,2021,4,1.2845039683811963,,
2021-05-28,2021,5,1.2537620935572344,,
2021-06-30,2021,6,1.2970415397013968,1.334875520632331,1.3349914764472322
2021-07-30,2021,7,1.3426234277471316,,
2021-08-31,2021,8,1.2650087487660002,,
2021-09-30,2021,9,1.329142554074586,1.3962986625413973,1.3982987272238883
2021-10-29,2021,10,1.3119184089599474,,
2021-11-30,2021,11,1.4292419520448039,,
2021-12-31,2021,12,1.3937702413456003,,
2022-01-31,2022,1,1.37572022583514,,
2022-02-28,2022,2,1.5065923739745706,,
2022-03-31,2022,3,1.4363808383471417,,
2022-04-29,2022,4,1.488992916831924,,
2022-05-31,2022,5,1.399568861678933,,
2022-06-30,2022,6,1.480030228798448,,
2022-07-29,2022,7,1.4696660210478207,,
2022-08-31,2022,8,1.3059573863166525,,
2022-09-30,2022,9,1.330912852330137,,
2022-10-31,2022,10,1.435952959069263,,
