ticker,date,year,market_cap,gross_profit_electric,gross_profit,gross_profit_non_electric,gross_profit_electric_fraction,emissions_co2_historical,emissions_co2_irp,emissions_co2_irp_future,emissions_co2_target,emissions_co2_target_future,emissions_co2_1point5c,emissions_co2_1point5c_historical,emissions_co2_1point5c_future,emissions_co2_historical_social_cost,emissions_co2_irp_social_cost,emissions_co2_irp_social_cost_future,emissions_co2_target_social_cost,emissions_co2_1point5c_social_cost,emissions_co2_1point5c_historical_social_cost,emissions_co2_1point5c_future_social_cost,emissions_co2_irp_above_1point5c,emissions_co2_irp_above_1point5c_historical,emissions_co2_irp_above_1point5c_future,market_cap_electric,market_cap_non_electric,carbon_adjustment_historical,carbon_adjustment_future,carbon_adjustment,index_value,market_cap_total,market_cap_electric_total,index_value_total,market_cap_weighting,market_cap_electric_weighting,index_weighting,performance
BRK-B,2018-12-31,2018.0,502336638000.0,5340414892.0,47630000000.0,42289585108.0,0.11212292445937434,1294.7635160257921,1858.5050294123585,563.7415133865663,1830.6615822919985,535.8980662662065,1661.6695031498316,1335.7440904671043,325.9254126827273,85743413583.34886,109383410496.9916,23639996913.642727,108116457030.19225,102882014925.54713,88505718713.87846,14376296211.668673,196.83552626252686,-40.98057444131223,237.81610070383903,56323452915.65008,446013185084.3499,-2762305130.529602,9263700701.974054,6501395571.444458,49822057344.20562,1548126833000.0,440316507569.0672,268819661104.02368,0.32448028629964326,0.12791583315057814,0.1853363594745633,1.0
NEE,2018-12-31,2018.0,83607420000.0,7932954832.0,13102000000.0,5169045168.0,0.6054766319645856,884.735313535779,1343.850657950357,459.1153444145779,1085.6507963810718,200.91548284529267,1153.6891538607174,920.7765011434792,232.91265271723813,58951165534.86915,77882797330.471,18931631795.601845,67498799582.43568,71408908232.56961,61135326742.41419,10273581490.155413,190.1615040896395,-36.04118760770018,226.2026916973398,50622339068.84853,32985080931.15147,-2184161207.545044,8658050305.446432,6473889097.901382,44148449970.94715,1548126833000.0,440316507569.0672,268819661104.02368,0.054005536379718576,0.11496807001020286,0.16423073293684148,1.0
DUK,2018-12-31,2018.0,61790800000.0,11470516132.96,16583000000.0,5112483867.040001,0.6917033186371585,1858.9293091858342,2779.540622051729,920.611312865895,2692.929673979684,834.0003647938499,2173.94263408059,1758.894043467855,415.048590612735,123555809069.96642,161603923683.33813,38048114613.371704,158310905569.33246,135447780452.57521,117140335716.15407,18307444736.42114,605.597987971139,100.0352657179792,505.56272225316,42740901421.244934,19049898578.755066,6415473353.812347,19740669876.950565,26156143230.762924,16584758190.48201,1548126833000.0,440316507569.0672,268819661104.02368,0.03991326723551467,0.0970685874513589,0.061694736621456775,1.0
SRE,2018-12-31,2018.0,32070653500.0,3650800369.995,6866000000.0,3215199630.005,0.5317215802497816,62.18366562636597,78.64633459673774,16.46266897037177,75.90165912556226,13.717993499196293,45.94985811703568,41.475442029642686,4.474416087392994,4097478618.384418,4781120849.967213,683642231.5827951,4673842344.5642605,2996752846.1092505,2799390110.5154014,197362735.5938491,32.69647647970206,20.708223596723286,11.988252882978776,17052658558.663187,15017994941.336813,1298088507.8690166,486279495.9889461,1784368003.8579621,15268290554.805225,1548126833000.0,440316507569.0672,268819661104.02368,0.02071577910567745,0.038728183625930356,0.05679752177388892,1.0
ES,2018-12-31,2018.0,20691190600.0,3325759295.0,5216681000.0,1890921705.0,0.6375239917871152,166.92476855556018,205.20496321600646,38.280194660446284,211.32823611246585,44.40346755690566,230.58248482204922,194.82251421292847,35.75997060912076,11772643382.817337,13354963086.04911,1582319703.2317724,13591778215.647633,14894209718.3168,13316867449.219994,1577342269.0968053,-25.377521606042762,-27.89774565736829,2.5202240513255276,13191130426.140034,7500060173.859965,-1544224066.4026566,4977434.134967089,-1539246632.2676888,14730377058.407722,1548126833000.0,440316507569.0672,268819661104.02368,0.01336530713049142,0.029958291818234634,0.05479650185522549,1.0
XEL,2018-12-31,2018.0,25374050000.0,4150707069.0,6790000000.0,2639292931.0,0.6112970646539028,934.4666983040145,1265.6440913965525,331.17739309253795,1180.7325271865154,246.265828882501,1190.9699227385825,958.0123497229999,232.9575730155825,62322910252.18584,76321065829.03392,13998155576.84808,72839760795.94374,73788974364.85493,63513411478.0677,10275562886.787237,74.67416865797009,-23.54565141898547,98.21982007695544,15511082283.381361,9862967716.618639,-1190501225.8818665,3722592690.0608425,2532091464.1789856,12978990819.202375,1548126833000.0,440316507569.0672,268819661104.02368,0.016390162265212803,0.03522711962132903,0.04828140458885545,1.0
SO,2018-12-31,2018.0,45413280000.0,8286100525.0,15654000000.0,7367899475.0,0.5293280008304587,1568.8186825939376,2382.428546360023,813.6098637660855,2426.8689712240307,858.0502886300931,2026.803082376917,1643.9897745353908,382.8133078415263,104882593296.41771,138253335343.55478,33370742047.137054,140189092612.45242,126169991660.52719,109284418173.02556,16885573487.501629,355.6254639831061,-75.17109194145314,430.7965559245592,24038520713.553856,21374759286.446144,-4401824876.607849,16485168559.635426,12083343683.027588,11955177030.526268,1548126833000.0,440316507569.0672,268819661104.02368,0.02933434072194006,0.05459373041966459,0.044472852102510604,1.0
PEG,2018-12-31,2018.0,26441400000.0,2147402893.0,6316000000.0,4168597107.0,0.33999412492083597,245.72060619371186,350.23543210556915,104.51482591185732,366.31809868883613,120.59749249512431,372.82119388708617,301.70724244914373,71.11395143794246,16982455028.939089,21302522081.077442,4320067052.138352,21922913452.835472,23532768994.00108,20395992324.029366,3136776669.971714,-22.58576178151702,-55.986636255431875,33.400874473914854,8989920654.681793,17451479345.318207,-3413537295.0902767,1183290382.1666384,-2230246912.9236374,11220167567.60543,1548126833000.0,440316507569.0672,268819661104.02368,0.017079608360486314,0.020416951216101414,0.04173864188923154,1.0
ED,2018-12-31,2018.0,24084900000.0,4970807548.0,9408000000.0,4437192452.0,0.5283596458333333,126.3612637492305,216.9661471265235,90.604883377293,189.1078159757511,62.746552226520585,152.56522670646518,120.98713527693779,31.578091429527397,8392596410.152789,12131669259.69315,3739072849.540361,11058811775.179184,9541534954.244232,8148651863.437302,1392883090.8069308,64.40092042005833,5.3741284722927105,59.02679194776561,12725489233.93125,11359410766.06875,243944546.71548748,2346189758.73343,2590134305.4489174,10135354928.482332,1548126833000.0,440316507569.0672,268819661104.02368,0.015557446254792743,0.02890077708916047,0.0377031757530574,1.0
WEC,2018-12-31,2018.0,21948494000.0,2077736685.5,4825700000.0,2747963314.5,0.4305565380152102,373.54875448729285,519.7125207742212,146.16376628692828,487.57635788311507,114.0276033958222,487.9118369488457,408.0888742448861,79.82296270395956,25422484062.836567,31447282121.36352,6024798058.526956,30264730457.8132,31163916690.878914,27642992848.581917,3520923842.2969995,31.800683825375472,-34.54011975759323,66.34080358296872,9450067591.287613,12498426408.712387,-2220508785.74535,2503874216.229956,283365430.4846077,9166702160.803005,1548126833000.0,440316507569.0672,268819661104.02368,0.014177452087351036,0.0214619879764678,0.034099820389461084,1.0
FTS,2018-12-31,2018.0,19469178000.0,1916726122.977,3747423100.0,1830696977.023,0.5114784404720674,167.226920902073,232.87570177918238,65.64878087710937,234.61653491628604,67.38961401421305,198.07589450718876,163.14830114937877,34.92759335780999,11126484747.65752,13863069412.137821,2736584664.4803,13932902460.628485,12424794149.779867,10884167342.132357,1540626807.6475105,34.799807271993615,4.078619752694237,30.721187519299384,9958064800.713083,9511113199.286917,242317405.52516365,1195957856.8327894,1438275262.357954,8519789538.355129,1548126833000.0,440316507569.0672,268819661104.02368,0.012575957980311036,0.022615697184941632,0.03169332742763288,1.0
