ticker,parent_name,utility_name,utility_id_eia,utility_id_ferc1_dbf,utility_id_irp,entity_type_eia,utility_type_rmi,public_private_unmapped,ferc_irp_data_available,has_ferc_data,has_irp_data,gross_profit,gross_profit_fraction_of_parent,net_generation_owned_2005,net_generation_owned_2021,emissions_co2_owned_2005,emissions_co2_owned_2021,net_generation_delivered_2005,net_generation_delivered_2021,emissions_co2_delivered_2005,emissions_co2_delivered_2021,emissions_co2_1point5c,emissions_co2_historical,emissions_co2_target_all_years,emissions_co2_irp,emissions_co2_1point5c_remaining,emissions_co2_irp_above_1point5c,emissions_co2_irp_above_1point5c_social_cost
AES,AES Corp.,AES Indiana,9273,74,9273,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,725503432.0,0.2694034281470479,16.538517672661868,11.4472884895,16.287851495341894,9.976851078926593,15.86077258475149,13.380407325402315,15.506039780372486,10.80663475390562,259.10238683212947,224.9395401677907,99.19041441605418,86.07479287150058,34.16284666433876,51.91194620716182,2516488478.6663275
AES,AES Corp.,The Dayton Power & Light Co.,4922,42,4922,Investor Owned,Restructured,public,FERC,True,False,325466176.0,0.12085635945042704,16.863023763591162,,15.59917179532114,,11.982022753587994,4.266882292472315,10.892653740259009,1.4189292327972292,121.78549723010931,99.2331065428602,12.0235582358081,15.97085153476416,22.552390687249115,-6.581539152484944,-269964209.6856716
AES,AES Corp.,Ohio Valley Electric Corp.,14015,128,14015,Investor Owned,Independent Power Producer,public,FERC,True,False,184570805.0,0.06853724656516896,7.657480999999999,5.034280998000001,7.2466012060691,5.044351999925125,0.3295312332333741,0.12174482632246583,0.2631992605500949,0.11249549134659047,3.4799199947528376,3.6338497511671277,1.2736249893448153,1.3844545479489085,-0.15392975641429008,1.538384304363199,71634248.89132872
AQN,Algonquin Power & Utilities Corp.,The Empire District Electric Co.,5860,51,5860,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,274209980.0,0.21037326469471285,3.762928479,5.6007471904656,3.2083130107012936,2.379047053166393,4.79194833312675,6.3685658764421476,4.1070754392826725,2.9570624897111353,82.29540445188833,141.59351216446953,34.265320401100126,39.70495231742161,-59.2981077125812,99.0030600300028,6450030885.692064
AQN,Algonquin Power & Utilities Corp.,"Luning Energy Holdings LLC, Invenergy Investments (Pudl Determined)",57222,522,57222,Investor Owned,Restructured,public,FERC,True,False,51773877.0,0.039720799113119466,,0.148918,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQN,Algonquin Power & Utilities Corp.,Liberty Utilities (Granite State Electric) Corp.,26510,59,26510,Investor Owned,Wires Only,public,FERC,True,False,38453584.0,0.02950150102229093,,,,,0.8263729262047659,0.5683098390739101,0.7616061541615616,0.1153842500019997,10.69859880981087,4.237522395455809,1.6153795000279958,1.2987150335885638,6.461076414355061,-5.162361380766496,-311624550.27676874
ALE,"Allete, Inc.","Minnesota Power, Inc.",12647,98,12647,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,443949304.0,0.5968665017477817,11.739567313604093,6.6344262194181605,12.02371281630986,4.59950992942964,12.58014499345362,10.044156190390675,11.907813405741253,5.166784194372457,170.91946070637084,138.03941628578534,51.46343110165757,55.23569230865312,32.880044420585506,22.35564788806761,966089447.6699123
ALE,"Allete, Inc.","Superior Water, Light & Power Co.",18336,167,18336,Investor Owned,Wires Only,public,FERC,True,False,9971559.0,0.013406236891637537,,,,,0.867702136195705,0.9323948130579494,0.6834660001056898,0.4713387577003313,14.73887844486475,12.222313140862536,6.598742607804638,5.3051844643248005,2.5165653040022136,2.788619160322588,119194271.57651807
LNT,Alliant Energy,Interstate Power & Light Co.,9417,281,9417,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,883895128.0,0.4143905897796531,7.804123994,12.175464346223,7.7643525633426735,5.966123446040811,10.592551945800253,13.969750484070673,9.191773402057798,5.949332653569369,217.12141007681873,141.6882483124844,63.32672236305271,70.76046313593997,75.43316176433433,-4.672698628394349,-787174204.0211129
LNT,Alliant Energy,Wisconsin Power & Light Co.,20856,194,20856,Investor Owned,Vertically Integrated,public,FERC & IRP,True,True,614366527.0,0.28802931411157995,8.096824809714285,12.305831772465,8.165985350261373,7.495949231410163,10.562710012256217,11.11665558128656,9.353127960571015,6.166572732255703,167.20851464024295,132.99839652021782,60.223081915724435,59.10778365309229,34.21011812002513,24.897665533067183,987712221.1370032
